,,,,Category,Technology,
,,,,,,
Row Labels,Average of Sales,Average of Profit,,Row Labels,Max of Sales,Max of Discount
Central,215.7726607,17.09270878,,Aaron Bergman,221.98,0
East,238.3361096,32.13580758,,Aaron Hawkins,668.16,0.2
South,241.8036451,28.85767302,,Aaron Smayling,1439.982,0.5
West,226.4932328,33.84903181,,Adam Bellavance,108.96,0
Grand Total,229.8580008,28.65689631,,Adam Hart,165.6,0.2
,,,,Adam Shillingsburg,71.976,0.2
,,,,Adrian Barton,471.92,0.4
,,,,Adrian Hane,112.776,0.2
,,,,Aimee Bixby,479.97,0
,,,,Alan Barnes,166.24,0.2
,,,,Alan Dominguez,2999.95,0
,,,,Alan Hwang,773.94,0.2
,,,,Alan Schoenberger,1394.95,0.2
,,,,Alejandro Ballentine,479.984,0.4
,,,,Alejandro Grove,149.95,0
,,,,Alejandro Savely,116.312,0.4
,,,,Alex Avila,431.976,0.2
,,,,Alex Grayson,167.28,0.2
,,,,Alex Russell,251.964,0.4
,,,,Alice McCarthy,239.97,0
,,,,Allen Armold,499.98,0
,,,,Allen Rosenblatt,239.7,0
,,,,Alyssa Tate,33.52,0.2
,,,,Amy Cox,742.336,0.2
,,,,Amy Hunt,539.97,0.2
,,,,Andrew Allen,479.97,0
,,,,Andrew Gjertsen,105.584,0.2
,,,,Andrew Roberts,89.97,0.4
,,,,Andy Gerbode,559.71,0.4
,,,,Andy Reiter,639.968,0.2
,,,,Andy Yotov,66.976,0.2
,,,,Angele Hood,383.96,0.2
,,,,Ann Blume,239.952,0.7
,,,,Ann Chong,238,0.2
,,,,Ann Steele,336.51,0.4
,,,,Anna Andreadi,271.9,0.4
,,,,Anna Chung,201.584,0.2
,,,,Anna Gayman,57.584,0.2
,,,,Anna Häberlin,1979.7,0.2
,,,,Anne McFarland,383.84,0.2
,,,,Anne Pryor,271.96,0.2
,,,,Annie Thurman,223.96,0.2
,,,,Annie Zypern,159.968,0.2
,,,,Anthony Jacobs,89.97,0
,,,,Anthony Johnson,767.952,0.2
,,,,Anthony Rawles,1626.192,0.2
,,,,Anthony Witt,201.584,0.2
,,,,Arianne Irving,1679.96,0.2
,,,,Art Ferguson,345,0.2
,,,,Art Foster,83.72,0
,,,,Arthur Gainer,1023.936,0.2
,,,,Arthur Prichep,686.32,0.2
,,,,Arthur Wiediger,689.408,0.2
,,,,Ashley Jarboe,299.98,0
,,,,Barry Blumstein,344.704,0.2
,,,,Barry Franz,659.976,0.2
,,,,Barry Französisch,1035.8,0.2
,,,,Barry Gonzalez,659.9,0.2
,,,,Barry Pond,319.92,0
,,,,Bart Pistole,583.8,0.2
,,,,Bart Watters,3059.982,0.2
,,,,Becky Castell,319.984,0.2
,,,,Becky Martin,8159.952,0.4
,,,,Becky Pak,989.97,0
,,,,Ben Ferrer,1199.98,0.2
,,,,Ben Peterman,1119.888,0.2
,,,,Ben Wallace,806.336,0.2
,,,,Benjamin Farhat,214.95,0.2
,,,,Benjamin Patterson,1022.97,0.4
